class,v0 CMMD,v1 CMMD,v2 CMMD
broadleaved_indigenous_hardwood,1.0170936584472656,1.051783561706543,1.062154769897461
deciduous_hardwood,0.9219646453857422,0.7610321044921875,0.7746219635009766
grose_broom,1.0706186294555664,0.91552734375,0.9568929672241211
harvested_forest,0.9816884994506836,1.025557518005371,1.0429620742797852
herbaceous_freshwater_vege,1.1049509048461914,1.2532472610473633,1.2412071228027344
high_producing_grassland,0.569462776184082,0.5135536193847656,0.5719661712646484
indigenous_forest,0.5856752395629883,0.81634521484375,0.8745193481445312
lake_pond,0.43904781341552734,0.5619525909423828,0.5774497985839844
low_producing_grassland,0.8922815322875977,0.8214712142944336,0.8444786071777344
manuka_kanuka,0.5129575729370117,0.5512237548828125,0.5713701248168945
shortrotation_cropland,0.6871223449707031,0.8683204650878906,0.8538961410522461
urban_build_up,0.9721517562866211,0.8959770202636719,1.093149185180664
urban_parkland,1.0002851486206055,0.8248090744018555,0.8251667022705078