"epoch","jolly-durian-1 - _step","jolly-durian-1 - _step__MIN","jolly-durian-1 - _step__MAX","jolly-durian-1 - loss/train","jolly-durian-1 - loss/train__MIN","jolly-durian-1 - loss/train__MAX","jolly-durian-1 - loss/val","jolly-durian-1 - loss/val__MIN","jolly-durian-1 - loss/val__MAX"
"0","0","0","0","2.436250751386324","2.436250751386324","2.436250751386324","2.21413562013388","2.21413562013388","2.21413562013388"
"1","1","1","1","2.22252848850874","2.22252848850874","2.22252848850874","2.0554394248661936","2.0554394248661936","2.0554394248661936"
"2","2","2","2","2.1436528170394418","2.1436528170394418","2.1436528170394418","1.986897569601023","1.986897569601023","1.986897569601023"
"3","3","3","3","2.0910393970260204","2.0910393970260204","2.0910393970260204","1.9618169837478996","1.9618169837478996","1.9618169837478996"
"4","4","4","4","2.072288412163868","2.072288412163868","2.072288412163868","1.9477906968394825","1.9477906968394825","1.9477906968394825"
"5","5","5","5","1.9893204167691936","1.9893204167691936","1.9893204167691936","1.919916353265243","1.919916353265243","1.919916353265243"
"6","6","6","6","1.9982930482461103","1.9982930482461103","1.9982930482461103","1.9259740161983607","1.9259740161983607","1.9259740161983607"
"7","7","7","7","1.9609612853349683","1.9609612853349683","1.9609612853349683","1.911423564835772","1.911423564835772","1.911423564835772"
"8","8","8","8","1.9529242018482775","1.9529242018482775","1.9529242018482775","1.8993982668573106","1.8993982668573106","1.8993982668573106"
"9","9","9","9","1.9276917607105795","1.9276917607105795","1.9276917607105795","1.8927915503714063","1.8927915503714063","1.8927915503714063"
"10","10","10","10","1.8918025597848527","1.8918025597848527","1.8918025597848527","1.8918939657553941","1.8918939657553941","1.8918939657553941"
"11","11","11","11","1.907143897096266","1.907143897096266","1.907143897096266","1.8916504287544016","1.8916504287544016","1.8916504287544016"
"12","12","12","12","1.8734895124712025","1.8734895124712025","1.8734895124712025","1.886255668089281","1.886255668089281","1.886255668089281"
"13","13","13","13","1.8783865577285657","1.8783865577285657","1.8783865577285657","1.8889473333494942","1.8889473333494942","1.8889473333494942"
"14","14","14","14","1.8305057527238253","1.8305057527238253","1.8305057527238253","1.8950618654832703","1.8950618654832703","1.8950618654832703"
"15","15","15","15","1.829424127704609","1.829424127704609","1.829424127704609","1.898338595001119","1.898338595001119","1.898338595001119"
"16","16","16","16","1.8221212855503808","1.8221212855503808","1.8221212855503808","1.8996791750645647","1.8996791750645647","1.8996791750645647"
"17","17","17","17","1.8353706894425996","1.8353706894425996","1.8353706894425996","1.9122760446320914","1.9122760446320914","1.9122760446320914"
"18","18","18","18","1.8164117941088715","1.8164117941088715","1.8164117941088715","1.9004260229658059","1.9004260229658059","1.9004260229658059"
"19","19","19","19","1.7724765801239335","1.7724765801239335","1.7724765801239335","1.9099486187162185","1.9099486187162185","1.9099486187162185"
"20","20","20","20","1.7871543844991895","1.7871543844991895","1.7871543844991895","1.9087767538415952","1.9087767538415952","1.9087767538415952"
"21","21","21","21","1.7788764066984795","1.7788764066984795","1.7788764066984795","1.9086868199594884","1.9086868199594884","1.9086868199594884"
"22","22","22","22","1.7615837368357827","1.7615837368357827","1.7615837368357827","1.9087698383849647","1.9087698383849647","1.9087698383849647"
"23","23","23","23","1.7545218951765256","1.7545218951765256","1.7545218951765256","1.9245898895470133","1.9245898895470133","1.9245898895470133"
"24","24","24","24","1.7510604370336866","1.7510604370336866","1.7510604370336866","1.9254916279835397","1.9254916279835397","1.9254916279835397"
"25","25","25","25","1.8049836466421647","1.8049836466421647","1.8049836466421647","1.9207298791337155","1.9207298791337155","1.9207298791337155"
"26","26","26","26","1.7028848308131894","1.7028848308131894","1.7028848308131894","1.9269093194352707","1.9269093194352707","1.9269093194352707"
"27","27","27","27","1.7257270996387188","1.7257270996387188","1.7257270996387188","1.927692518976634","1.927692518976634","1.927692518976634"
"28","28","28","28","1.7370302269768445","1.7370302269768445","1.7370302269768445","1.926844757199562","1.926844757199562","1.926844757199562"
"29","29","29","29","1.7084550983818603","1.7084550983818603","1.7084550983818603","1.925942799453085","1.925942799453085","1.925942799453085"
"30","30","30","30","1.6707032455922977","1.6707032455922977","1.6707032455922977","1.9364468222222313","1.9364468222222313","1.9364468222222313"