"epoch","devoted-surf-1 - _step","devoted-surf-1 - _step__MIN","devoted-surf-1 - _step__MAX","devoted-surf-1 - loss/train","devoted-surf-1 - loss/train__MIN","devoted-surf-1 - loss/train__MAX","devoted-surf-1 - loss/val","devoted-surf-1 - loss/val__MIN","devoted-surf-1 - loss/val__MAX"
"0","0","0","0","2.54582569020316","2.54582569020316","2.54582569020316","2.4657075875149186","2.4657075875149186","2.4657075875149186"
"1","1","1","1","2.4478135553951708","2.4478135553951708","2.4478135553951708","2.353473549666684","2.353473549666684","2.353473549666684"
"2","2","2","2","2.3721282449653116","2.3721282449653116","2.3721282449653116","2.256880961162931","2.256880961162931","2.256880961162931"
"3","3","3","3","2.310895783049208","2.310895783049208","2.310895783049208","2.1869057003444703","2.1869057003444703","2.1869057003444703"
"4","4","4","4","2.2634313324632864","2.2634313324632864","2.2634313324632864","2.1313669561845594","2.1313669561845594","2.1313669561845594"
"5","5","5","5","2.2182620451780246","2.2182620451780246","2.2182620451780246","2.0828026948794416","2.0828026948794416","2.0828026948794416"
"6","6","6","6","2.172406600016759","2.172406600016759","2.172406600016759","2.0493149690395236","2.0493149690395236","2.0493149690395236"
"7","7","7","7","2.1633024561016905","2.1633024561016905","2.1633024561016905","2.0214738753027546","2.0214738753027546","2.0214738753027546"
"8","8","8","8","2.146143819862272","2.146143819862272","2.146143819862272","1.9990372294272656","1.9990372294272656","1.9990372294272656"
"9","9","9","9","2.1243953013921284","2.1243953013921284","2.1243953013921284","1.987543182129247","1.987543182129247","1.987543182129247"
"10","10","10","10","2.110394190298985","2.110394190298985","2.110394190298985","1.9793058661808347","1.9793058661808347","1.9793058661808347"
"11","11","11","11","2.0997283811738843","2.0997283811738843","2.0997283811738843","1.9542327009549838","1.9542327009549838","1.9542327009549838"
"12","12","12","12","2.070088094859785","2.070088094859785","2.070088094859785","1.9495524906552042","1.9495524906552042","1.9495524906552042"
"13","13","13","13","2.0663420292653174","2.0663420292653174","2.0663420292653174","1.9480618100625366","1.9480618100625366","1.9480618100625366"
"14","14","14","14","2.037185916974435","2.037185916974435","2.037185916974435","1.9361008833433175","1.9361008833433175","1.9361008833433175"
"15","15","15","15","2.056410530638436","2.056410530638436","2.056410530638436","1.924645178002841","1.924645178002841","1.924645178002841"
"16","16","16","16","2.0376245504605297","2.0376245504605297","2.0376245504605297","1.9205774298904679","1.9205774298904679","1.9205774298904679"
"17","17","17","17","2.0125552622653453","2.0125552622653453","2.0125552622653453","1.916915499411767","1.916915499411767","1.916915499411767"
"18","18","18","18","2.01945564514992","2.01945564514992","2.01945564514992","1.909647956579745","1.909647956579745","1.909647956579745"
"19","19","19","19","2.0199910197695288","2.0199910197695288","2.0199910197695288","1.9122014068228372","1.9122014068228372","1.9122014068228372"
"20","20","20","20","1.9822078768390243","1.9822078768390243","1.9822078768390243","1.905212228608977","1.905212228608977","1.905212228608977"
"21","21","21","21","1.9660287607236613","1.9660287607236613","1.9660287607236613","1.905600909097356","1.905600909097356","1.905600909097356"
"22","22","22","22","1.9690021998228557","1.9690021998228557","1.9690021998228557","1.9004264670766922","1.9004264670766922","1.9004264670766922"
"23","23","23","23","1.9713145278843425","1.9713145278843425","1.9713145278843425","1.8889832440635017","1.8889832440635017","1.8889832440635017"
"24","24","24","24","1.9468507523843999","1.9468507523843999","1.9468507523843999","1.8842295488966385","1.8842295488966385","1.8842295488966385"
"25","25","25","25","1.958738800889489","1.958738800889489","1.958738800889489","1.8883668181534903","1.8883668181534903","1.8883668181534903"
"26","26","26","26","1.9706647662098673","1.9706647662098673","1.9706647662098673","1.8856215975571207","1.8856215975571207","1.8856215975571207"
"27","27","27","27","1.9205536300686057","1.9205536300686057","1.9205536300686057","1.885296171461586","1.885296171461586","1.885296171461586"
"28","28","28","28","1.9444487898419707","1.9444487898419707","1.9444487898419707","1.8874691718737138","1.8874691718737138","1.8874691718737138"
"29","29","29","29","1.9308041520029493","1.9308041520029493","1.9308041520029493","1.8819522132855964","1.8819522132855964","1.8819522132855964"
"30","30","30","30","1.9223752787053159","1.9223752787053159","1.9223752787053159","1.8769104931004197","1.8769104931004197","1.8769104931004197"
"31","31","31","31","1.9150105058582365","1.9150105058582365","1.9150105058582365","1.8795649440318194","1.8795649440318194","1.8795649440318194"
"32","32","32","32","1.8749865764391893","1.8749865764391893","1.8749865764391893","1.8798653356823598","1.8798653356823598","1.8798653356823598"
"33","33","33","33","1.9002422963149224","1.9002422963149224","1.9002422963149224","1.8798482541058372","1.8798482541058372","1.8798482541058372"
"34","34","34","34","1.906948773462741","1.906948773462741","1.906948773462741","1.8812972360467757","1.8812972360467757","1.8812972360467757"
"35","35","35","35","1.8575802245628037","1.8575802245628037","1.8575802245628037","1.8742463381155356","1.8742463381155356","1.8742463381155356"
"36","36","36","36","1.8835191324638918","1.8835191324638918","1.8835191324638918","1.8844273848118511","1.8844273848118511","1.8844273848118511"
"37","37","37","37","1.8794588198367705","1.8794588198367705","1.8794588198367705","1.8742234857331657","1.8742234857331657","1.8742234857331657"
"38","38","38","38","1.8676456113862892","1.8676456113862892","1.8676456113862892","1.883729360939335","1.883729360939335","1.883729360939335"
"39","39","39","39","1.866075140743119","1.866075140743119","1.866075140743119","1.8761149465296467","1.8761149465296467","1.8761149465296467"
"40","40","40","40","1.843990842694084","1.843990842694084","1.843990842694084","1.8797554324596832","1.8797554324596832","1.8797554324596832"
"41","41","41","41","1.8373161621252365","1.8373161621252365","1.8373161621252365","1.8817117572215118","1.8817117572215118","1.8817117572215118"
"42","42","42","42","1.848438908250262","1.848438908250262","1.848438908250262","1.8732165695060403","1.8732165695060403","1.8732165695060403"
"43","43","43","43","1.841642672648246","1.841642672648246","1.841642672648246","1.8762202125603786","1.8762202125603786","1.8762202125603786"
"44","44","44","44","1.852376523346129","1.852376523346129","1.852376523346129","1.8805145453001046","1.8805145453001046","1.8805145453001046"
"45","45","45","45","1.786399381985205","1.786399381985205","1.786399381985205","1.8953691901615939","1.8953691901615939","1.8953691901615939"
"46","46","46","46","1.8181667899281357","1.8181667899281357","1.8181667899281357","1.881400254617249","1.881400254617249","1.881400254617249"
"47","47","47","47","1.8075311968744585","1.8075311968744585","1.8075311968744585","1.886372031840461","1.886372031840461","1.886372031840461"
"48","48","48","48","1.8095047144835859","1.8095047144835859","1.8095047144835859","1.8803065659976785","1.8803065659976785","1.8803065659976785"
"49","49","49","49","1.7464492760510884","1.7464492760510884","1.7464492760510884","1.8875174620139439","1.8875174620139439","1.8875174620139439"