"epoch","breezy-sky-1 - _step","breezy-sky-1 - _step__MIN","breezy-sky-1 - _step__MAX","breezy-sky-1 - loss/train","breezy-sky-1 - loss/train__MIN","breezy-sky-1 - loss/train__MAX","breezy-sky-1 - loss/val","breezy-sky-1 - loss/val__MIN","breezy-sky-1 - loss/val__MAX"
"0","0","0","0","2.5189785231634847","2.5189785231634847","2.5189785231634847","2.4494303908012034","2.4494303908012034","2.4494303908012034"
"1","1","1","1","2.3105107214210894","2.3105107214210894","2.3105107214210894","2.251112324419465","2.251112324419465","2.251112324419465"
"2","2","2","2","2.080938176450805","2.080938176450805","2.080938176450805","2.111691503467674","2.111691503467674","2.111691503467674"
"3","3","3","3","1.9045159826563607","1.9045159826563607","1.9045159826563607","1.9927703169071966","1.9927703169071966","1.9927703169071966"
"4","4","4","4","1.807815612119735","1.807815612119735","1.807815612119735","1.8998128558457146","1.8998128558457146","1.8998128558457146"
"5","5","5","5","1.7488919774021188","1.7488919774021188","1.7488919774021188","1.8614128182308842","1.8614128182308842","1.8614128182308842"
"6","6","6","6","1.6872762112196353","1.6872762112196353","1.6872762112196353","1.8063806003274483","1.8063806003274483","1.8063806003274483"
"7","7","7","7","1.6371794271626998","1.6371794271626998","1.6371794271626998","1.7826634086479738","1.7826634086479738","1.7826634086479738"
"8","8","8","8","1.5923791250033696","1.5923791250033696","1.5923791250033696","1.7393088074446492","1.7393088074446492","1.7393088074446492"
"9","9","9","9","1.5817818097340517","1.5817818097340517","1.5817818097340517","1.7218906452226397","1.7218906452226397","1.7218906452226397"
"10","10","10","10","1.5574345109809158","1.5574345109809158","1.5574345109809158","1.7057465455983434","1.7057465455983434","1.7057465455983434"
"11","11","11","11","1.5641571723846637","1.5641571723846637","1.5641571723846637","1.6928689647852029","1.6928689647852029","1.6928689647852029"
"12","12","12","12","1.5224490383622864","1.5224490383622864","1.5224490383622864","1.6797587577783804","1.6797587577783804","1.6797587577783804"
"13","13","13","13","1.5068426166532074","1.5068426166532074","1.5068426166532074","1.6713770601069635","1.6713770601069635","1.6713770601069635"
"14","14","14","14","1.4755101592195423","1.4755101592195423","1.4755101592195423","1.6757835598378508","1.6757835598378508","1.6757835598378508"
"15","15","15","15","1.467906316038807","1.467906316038807","1.467906316038807","1.6587895004500008","1.6587895004500008","1.6587895004500008"
"16","16","16","16","1.447089365469149","1.447089365469149","1.447089365469149","1.6432850036353133","1.6432850036353133","1.6432850036353133"
"17","17","17","17","1.4315091928617318","1.4315091928617318","1.4315091928617318","1.6284362594963822","1.6284362594963822","1.6284362594963822"
"18","18","18","18","1.4422235428860128","1.4422235428860128","1.4422235428860128","1.6391675800071341","1.6391675800071341","1.6391675800071341"
"19","19","19","19","1.3839353572654973","1.3839353572654973","1.3839353572654973","1.638384712176189","1.638384712176189","1.638384712176189"
"20","20","20","20","1.4052412860285395","1.4052412860285395","1.4052412860285395","1.612430093915492","1.612430093915492","1.612430093915492"
"21","21","21","21","1.414625186861236","1.414625186861236","1.414625186861236","1.603342202169892","1.603342202169892","1.603342202169892"
"22","22","22","22","1.341192675892545","1.341192675892545","1.341192675892545","1.6034148824978183","1.6034148824978183","1.6034148824978183"
"23","23","23","23","1.3940022327134944","1.3940022327134944","1.3940022327134944","1.6144052739518955","1.6144052739518955","1.6144052739518955"
"24","24","24","24","1.3442151812213925","1.3442151812213925","1.3442151812213925","1.607459025468655","1.607459025468655","1.607459025468655"
"25","25","25","25","1.3800516420895153","1.3800516420895153","1.3800516420895153","1.6093667695073146","1.6093667695073146","1.6093667695073146"
"26","26","26","26","1.3386893595780458","1.3386893595780458","1.3386893595780458","1.600750644653967","1.600750644653967","1.600750644653967"
"27","27","27","27","1.32568350201383","1.32568350201383","1.32568350201383","1.5895787983762126","1.5895787983762126","1.5895787983762126"
"28","28","28","28","1.2991734952953071","1.2991734952953071","1.2991734952953071","1.6015476613811281","1.6015476613811281","1.6015476613811281"
"29","29","29","29","1.3432566624981266","1.3432566624981266","1.3432566624981266","1.5916516600748956","1.5916516600748956","1.5916516600748956"
"30","30","30","30","1.2842972746363155","1.2842972746363155","1.2842972746363155","1.6081401720842092","1.6081401720842092","1.6081401720842092"
"31","31","31","31","1.2600707755616054","1.2600707755616054","1.2600707755616054","1.599095005639848","1.599095005639848","1.599095005639848"
"32","32","32","32","1.273885894704748","1.273885894704748","1.273885894704748","1.5927268873980824","1.5927268873980824","1.5927268873980824"
"33","33","33","33","1.2617615295023752","1.2617615295023752","1.2617615295023752","1.601958643670787","1.601958643670787","1.601958643670787"
"34","34","34","34","1.2920357654576968","1.2920357654576968","1.2920357654576968","1.6094875238502921","1.6094875238502921","1.6094875238502921"
"35","35","35","35","1.218582634338562","1.218582634338562","1.218582634338562","1.6050728070247233","1.6050728070247233","1.6050728070247233"
"36","36","36","36","1.2529073690646624","1.2529073690646624","1.2529073690646624","1.5898315672059589","1.5898315672059589","1.5898315672059589"
"37","37","37","37","1.205886808197704","1.205886808197704","1.205886808197704","1.6010306106630638","1.6010306106630638","1.6010306106630638"
"38","38","38","38","1.2114018396058277","1.2114018396058277","1.2114018396058277","1.5981932279427773","1.5981932279427773","1.5981932279427773"
"39","39","39","39","1.1945030718016056","1.1945030718016056","1.1945030718016056","1.5979366462827003","1.5979366462827003","1.5979366462827003"
"40","40","40","40","1.199896910003879","1.199896910003879","1.199896910003879","1.600508151983457","1.600508151983457","1.600508151983457"
"41","41","41","41","1.1971233435955593","1.1971233435955593","1.1971233435955593","1.6014217104795396","1.6014217104795396","1.6014217104795396"
"42","42","42","42","1.1852312972260703","1.1852312972260703","1.1852312972260703","1.6068476771825142","1.6068476771825142","1.6068476771825142"