"epoch","magic-dream-1 - _step","magic-dream-1 - _step__MIN","magic-dream-1 - _step__MAX","magic-dream-1 - loss/train","magic-dream-1 - loss/train__MIN","magic-dream-1 - loss/train__MAX","magic-dream-1 - loss/val","magic-dream-1 - loss/val__MIN","magic-dream-1 - loss/val__MAX"
"0","0","0","0","2.440252709978033","2.440252709978033","2.440252709978033","2.296606817425588","2.296606817425588","2.296606817425588"
"1","1","1","1","2.3253221141187774","2.3253221141187774","2.3253221141187774","2.2310011369300184","2.2310011369300184","2.2310011369300184"
"2","2","2","2","2.284965044357783","2.284965044357783","2.284965044357783","2.1771829535696487","2.1771829535696487","2.1771829535696487"
"3","3","3","3","2.248468644130475","2.248468644130475","2.248468644130475","2.15306224761499","2.15306224761499","2.15306224761499"
"4","4","4","4","2.2402103624103744","2.2402103624103744","2.2402103624103744","2.1371890829763673","2.1371890829763673","2.1371890829763673"
"5","5","5","5","2.218054048457138","2.218054048457138","2.218054048457138","2.1252704834070473","2.1252704834070473","2.1252704834070473"
"6","6","6","6","2.2060578101279966","2.2060578101279966","2.2060578101279966","2.116148909793258","2.116148909793258","2.116148909793258"
"7","7","7","7","2.208262640654999","2.208262640654999","2.208262640654999","2.1025573651618203","2.1025573651618203","2.1025573651618203"
"8","8","8","8","2.1884506347411277","2.1884506347411277","2.1884506347411277","2.1082219922668863","2.1082219922668863","2.1082219922668863"
"9","9","9","9","2.2165197392593883","2.2165197392593883","2.2165197392593883","2.0951133537599977","2.0951133537599977","2.0951133537599977"
"10","10","10","10","2.1930958309909383","2.1930958309909383","2.1930958309909383","2.0875271743807797","2.0875271743807797","2.0875271743807797"
"11","11","11","11","2.1935659219883252","2.1935659219883252","2.1935659219883252","2.0883169616767745","2.0883169616767745","2.0883169616767745"
"12","12","12","12","2.1932993598831363","2.1932993598831363","2.1932993598831363","2.095689683672142","2.095689683672142","2.095689683672142"
"13","13","13","13","2.1712666040866857","2.1712666040866857","2.1712666040866857","2.0763310810104048","2.0763310810104048","2.0763310810104048"
"14","14","14","14","2.204612276795886","2.204612276795886","2.204612276795886","2.0882521518525414","2.0882521518525414","2.0882521518525414"
"15","15","15","15","2.200677486786696","2.200677486786696","2.200677486786696","2.0970433792832917","2.0970433792832917","2.0970433792832917"
"16","16","16","16","2.1844953825909426","2.1844953825909426","2.1844953825909426","2.0725726170893477","2.0725726170893477","2.0725726170893477"
"17","17","17","17","2.183304527720669","2.183304527720669","2.183304527720669","2.071369670822235","2.071369670822235","2.071369670822235"
"18","18","18","18","2.165400186072984","2.165400186072984","2.165400186072984","2.0652083540116517","2.0652083540116517","2.0652083540116517"
"19","19","19","19","2.183959048899692","2.183959048899692","2.183959048899692","2.0694977447548424","2.0694977447548424","2.0694977447548424"
"20","20","20","20","2.1813609054827143","2.1813609054827143","2.1813609054827143","2.0775195840644924","2.0775195840644924","2.0775195840644924"
"21","21","21","21","2.1871268525633587","2.1871268525633587","2.1871268525633587","2.076174198180945","2.076174198180945","2.076174198180945"
"22","22","22","22","2.165219898007984","2.165219898007984","2.165219898007984","2.075202516782454","2.075202516782454","2.075202516782454"
"23","23","23","23","2.180248559333623","2.180248559333623","2.180248559333623","2.0724010297308753","2.0724010297308753","2.0724010297308753"