"epoch","devout-sweep-1 - _step","devout-sweep-1 - _step__MIN","devout-sweep-1 - _step__MAX","devout-sweep-1 - loss/train","devout-sweep-1 - loss/train__MIN","devout-sweep-1 - loss/train__MAX","devout-sweep-1 - loss/val","devout-sweep-1 - loss/val__MIN","devout-sweep-1 - loss/val__MAX"
"0","0","0","0","2.536889588948106","2.536889588948106","2.536889588948106","2.4784101424048104","2.4784101424048104","2.4784101424048104"
"1","1","1","1","2.4290283776572292","2.4290283776572292","2.4290283776572292","2.2956008803509502","2.2956008803509502","2.2956008803509502"
"2","2","2","2","2.30272872952064","2.30272872952064","2.30272872952064","2.1416589706957696","2.1416589706957696","2.1416589706957696"
"3","3","3","3","2.1817074409298858","2.1817074409298858","2.1817074409298858","2.0233870868801467","2.0233870868801467","2.0233870868801467"
"4","4","4","4","2.0710842517204973","2.0710842517204973","2.0710842517204973","1.9099248855249062","1.9099248855249062","1.9099248855249062"
"5","5","5","5","1.9757680740613004","1.9757680740613004","1.9757680740613004","1.809339650871017","1.809339650871017","1.809339650871017"
"6","6","6","6","1.9152235999834943","1.9152235999834943","1.9152235999834943","1.746299647175733","1.746299647175733","1.746299647175733"
"7","7","7","7","1.8382202243043275","1.8382202243043275","1.8382202243043275","1.7004470560529823","1.7004470560529823","1.7004470560529823"
"8","8","8","8","1.842915509317341","1.842915509317341","1.842915509317341","1.6708968228208805","1.6708968228208805","1.6708968228208805"
"9","9","9","9","1.7688192465867552","1.7688192465867552","1.7688192465867552","1.6349490028765277","1.6349490028765277","1.6349490028765277"
"10","10","10","10","1.7260232114551346","1.7260232114551346","1.7260232114551346","1.619945023862627","1.619945023862627","1.619945023862627"
"11","11","11","11","1.7001161286689594","1.7001161286689594","1.7001161286689594","1.605784289466791","1.605784289466791","1.605784289466791"
"12","12","12","12","1.6495902750761682","1.6495902750761682","1.6495902750761682","1.582094778338098","1.582094778338098","1.582094778338098"
"13","13","13","13","1.67384495966672","1.67384495966672","1.67384495966672","1.5843887819995643","1.5843887819995643","1.5843887819995643"
"14","14","14","14","1.637776894848003","1.637776894848003","1.637776894848003","1.5622762139630944","1.5622762139630944","1.5622762139630944"
"15","15","15","15","1.6042226412156992","1.6042226412156992","1.6042226412156992","1.5567374347487335","1.5567374347487335","1.5567374347487335"
"16","16","16","16","1.580362791872766","1.580362791872766","1.580362791872766","1.5419115957605405","1.5419115957605405","1.5419115957605405"
"17","17","17","17","1.5311580403806182","1.5311580403806182","1.5311580403806182","1.5396479740498639","1.5396479740498639","1.5396479740498639"
"18","18","18","18","1.5151265533394351","1.5151265533394351","1.5151265533394351","1.5547985671468179","1.5547985671468179","1.5547985671468179"
"19","19","19","19","1.5226686262893998","1.5226686262893998","1.5226686262893998","1.547857638879176","1.547857638879176","1.547857638879176"
"20","20","20","20","1.4753644657816491","1.4753644657816491","1.4753644657816491","1.5326238143614281","1.5326238143614281","1.5326238143614281"
"21","21","21","21","1.4610538539790265","1.4610538539790265","1.4610538539790265","1.530184648762865","1.530184648762865","1.530184648762865"
"22","22","22","22","1.4488819973365556","1.4488819973365556","1.4488819973365556","1.5481819262541916","1.5481819262541916","1.5481819262541916"
"23","23","23","23","1.4291793264827592","1.4291793264827592","1.4291793264827592","1.53424853479077","1.53424853479077","1.53424853479077"
"24","24","24","24","1.4381078713678823","1.4381078713678823","1.4381078713678823","1.5497822175098421","1.5497822175098421","1.5497822175098421"
"25","25","25","25","1.3652471891718283","1.3652471891718283","1.3652471891718283","1.54516540931041","1.54516540931041","1.54516540931041"
"26","26","26","26","1.3470533977490906","1.3470533977490906","1.3470533977490906","1.553318211747885","1.553318211747885","1.553318211747885"
"27","27","27","27","1.3394829913215909","1.3394829913215909","1.3394829913215909","1.5573408070493546","1.5573408070493546","1.5573408070493546"
"28","28","28","28","1.270360621247486","1.270360621247486","1.270360621247486","1.5529527911828005","1.5529527911828005","1.5529527911828005"
"29","29","29","29","1.267747519345983","1.267747519345983","1.267747519345983","1.5540332594866688","1.5540332594866688","1.5540332594866688"
"30","30","30","30","1.2124080973144538","1.2124080973144538","1.2124080973144538","1.5685224071838295","1.5685224071838295","1.5685224071838295"
"31","31","31","31","1.2214625198683753","1.2214625198683753","1.2214625198683753","1.5661135585777004","1.5661135585777004","1.5661135585777004"
"32","32","32","32","1.2092508800944746","1.2092508800944746","1.2092508800944746","1.5657621281644487","1.5657621281644487","1.5657621281644487"
"33","33","33","33","1.1932101156993191","1.1932101156993191","1.1932101156993191","1.5690951229294892","1.5690951229294892","1.5690951229294892"
"34","34","34","34","1.2581979901212361","1.2581979901212361","1.2581979901212361","1.563017017332874","1.563017017332874","1.563017017332874"