"epoch","desert-sweep-1 - _step","desert-sweep-1 - _step__MIN","desert-sweep-1 - _step__MAX","desert-sweep-1 - loss/train","desert-sweep-1 - loss/train__MIN","desert-sweep-1 - loss/train__MAX","desert-sweep-1 - loss/val","desert-sweep-1 - loss/val__MIN","desert-sweep-1 - loss/val__MAX"
"0","0","0","0","2.3994513333901852","2.3994513333901852","2.3994513333901852","2.25568045080669","2.25568045080669","2.25568045080669"
"1","1","1","1","2.2600408535031877","2.2600408535031877","2.2600408535031877","2.2021504539545096","2.2021504539545096","2.2021504539545096"
"2","2","2","2","2.2160291819882816","2.2160291819882816","2.2160291819882816","2.1449600859536164","2.1449600859536164","2.1449600859536164"
"3","3","3","3","2.1794553138095245","2.1794553138095245","2.1794553138095245","2.1259426034468762","2.1259426034468762","2.1259426034468762"
"4","4","4","4","2.1592605237424727","2.1592605237424727","2.1592605237424727","2.1151786613222754","2.1151786613222754","2.1151786613222754"
"5","5","5","5","2.1439699572924327","2.1439699572924327","2.1439699572924327","2.102723866769763","2.102723866769763","2.102723866769763"
"6","6","6","6","2.1313607297705475","2.1313607297705475","2.1313607297705475","2.0930158495628466","2.0930158495628466","2.0930158495628466"
"7","7","7","7","2.1503999772861864","2.1503999772861864","2.1503999772861864","2.1027612775660285","2.1027612775660285","2.1027612775660285"
"8","8","8","8","2.121329392554492","2.121329392554492","2.121329392554492","2.0865133556557494","2.0865133556557494","2.0865133556557494"
"9","9","9","9","2.136603893965659","2.136603893965659","2.136603893965659","2.089101696168152","2.089101696168152","2.089101696168152"
"10","10","10","10","2.120181948828274","2.120181948828274","2.120181948828274","2.0830992064899916","2.0830992064899916","2.0830992064899916"
"11","11","11","11","2.121950942031025","2.121950942031025","2.121950942031025","2.0901812269412003","2.0901812269412003","2.0901812269412003"
"12","12","12","12","2.1395800610971167","2.1395800610971167","2.1395800610971167","2.083233185706189","2.083233185706189","2.083233185706189"
"13","13","13","13","2.117175911305219","2.117175911305219","2.117175911305219","2.0805239723553477","2.0805239723553477","2.0805239723553477"
"14","14","14","14","2.1169752922989207","2.1169752922989207","2.1169752922989207","2.078476631657861","2.078476631657861","2.078476631657861"
"15","15","15","15","2.1104976210368456","2.1104976210368456","2.1104976210368456","2.0730705969567564","2.0730705969567564","2.0730705969567564"
"16","16","16","16","2.122576167244883","2.122576167244883","2.122576167244883","2.0792700039082987","2.0792700039082987","2.0792700039082987"
"17","17","17","17","2.1316497202455644","2.1316497202455644","2.1316497202455644","2.0776618226559576","2.0776618226559576","2.0776618226559576"
"18","18","18","18","2.116023780326166","2.116023780326166","2.116023780326166","2.075051686666024","2.075051686666024","2.075051686666024"
"19","19","19","19","2.1174343905505344","2.1174343905505344","2.1174343905505344","2.082334163605151","2.082334163605151","2.082334163605151"
"20","20","20","20","2.109661865163837","2.109661865163837","2.109661865163837","2.0678416576763277","2.0678416576763277","2.0678416576763277"
"21","21","21","21","2.127863062909369","2.127863062909369","2.127863062909369","2.0778417152394244","2.0778417152394244","2.0778417152394244"
"22","22","22","22","2.1013264119977784","2.1013264119977784","2.1013264119977784","2.0591434854233337","2.0591434854233337","2.0591434854233337"
"23","23","23","23","2.114675283784697","2.114675283784697","2.114675283784697","2.076465068078711","2.076465068078711","2.076465068078711"
"24","24","24","24","2.1076656259023228","2.1076656259023228","2.1076656259023228","2.0650878346828425","2.0650878346828425","2.0650878346828425"
"25","25","25","25","2.102337927860621","2.102337927860621","2.102337927860621","2.0607704144916683","2.0607704144916683","2.0607704144916683"
"26","26","26","26","2.094521262589291","2.094521262589291","2.094521262589291","2.062599212329325","2.062599212329325","2.062599212329325"
"27","27","27","27","2.1047922616174235","2.1047922616174235","2.1047922616174235","2.0679196463044147","2.0679196463044147","2.0679196463044147"
"28","28","28","28","2.102521518278404","2.102521518278404","2.102521518278404","2.0644586789119304","2.0644586789119304","2.0644586789119304"
"29","29","29","29","2.092818129697495","2.092818129697495","2.092818129697495","2.0601484694276633","2.0601484694276633","2.0601484694276633"
"30","30","30","30","2.109818432810744","2.109818432810744","2.109818432810744","2.060031082321564","2.060031082321564","2.060031082321564"
"31","31","31","31","2.1194027616427493","2.1194027616427493","2.1194027616427493","2.07519944918864","2.07519944918864","2.07519944918864"
"32","32","32","32","2.099639819218562","2.099639819218562","2.099639819218562","2.056734739718268","2.056734739718268","2.056734739718268"
"33","33","33","33","2.072706690906773","2.072706690906773","2.072706690906773","2.066184113180511","2.066184113180511","2.066184113180511"
"34","34","34","34","2.0944372327370053","2.0944372327370053","2.0944372327370053","2.0566683809969186","2.0566683809969186","2.0566683809969186"
"35","35","35","35","2.093663789816862","2.093663789816862","2.093663789816862","2.0645579611964076","2.0645579611964076","2.0645579611964076"