"epoch","golden-sweep-1 - _step","golden-sweep-1 - _step__MIN","golden-sweep-1 - _step__MAX","golden-sweep-1 - loss/train","golden-sweep-1 - loss/train__MIN","golden-sweep-1 - loss/train__MAX","golden-sweep-1 - loss/val","golden-sweep-1 - loss/val__MIN","golden-sweep-1 - loss/val__MAX"
"0","0","0","0","1.7492273030310808","1.7492273030310808","1.7492273030310808","1.9452884258734142","1.9452884258734142","1.9452884258734142"
"1","1","1","1","1.610752342358063","1.610752342358063","1.610752342358063","1.9026588790156445","1.9026588790156445","1.9026588790156445"
"2","2","2","2","1.5580935735464592","1.5580935735464592","1.5580935735464592","1.9301231962807548","1.9301231962807548","1.9301231962807548"
"3","3","3","3","1.530424995283575","1.530424995283575","1.530424995283575","1.929774502299997","1.929774502299997","1.929774502299997"
"4","4","4","4","1.4991044609726756","1.4991044609726756","1.4991044609726756","1.9620745491728921","1.9620745491728921","1.9620745491728921"
"5","5","5","5","1.4502279914369978","1.4502279914369978","1.4502279914369978","1.986600539586556","1.986600539586556","1.986600539586556"
"6","6","6","6","1.4444658135068034","1.4444658135068034","1.4444658135068034","2.0961719446608353","2.0961719446608353","2.0961719446608353"
"7","7","7","7","1.3993304252294063","1.3993304252294063","1.3993304252294063","2.0562854810883406","2.0562854810883406","2.0562854810883406"
"8","8","8","8","1.390927515169797","1.390927515169797","1.390927515169797","2.1295153015168347","2.1295153015168347","2.1295153015168347"
"9","9","9","9","1.3682407729480854","1.3682407729480854","1.3682407729480854","2.0866988749067006","2.0866988749067006","2.0866988749067006"
"10","10","10","10","1.367403107505661","1.367403107505661","1.367403107505661","2.1281731483410273","2.1281731483410273","2.1281731483410273"
"11","11","11","11","1.347562851071991","1.347562851071991","1.347562851071991","2.174655346538767","2.174655346538767","2.174655346538767"
"12","12","12","12","1.3353776379583284","1.3353776379583284","1.3353776379583284","2.154139693955132","2.154139693955132","2.154139693955132"
"13","13","13","13","1.3210409450597096","1.3210409450597096","1.3210409450597096","2.1666486540020804","2.1666486540020804","2.1666486540020804"
"14","14","14","14","1.3085217218196372","1.3085217218196372","1.3085217218196372","2.200720693591771","2.200720693591771","2.200720693591771"
"15","15","15","15","1.3355579103270259","1.3355579103270259","1.3355579103270259","2.154991794214552","2.154991794214552","2.154991794214552"
"16","16","16","16","1.311016272000502","1.311016272000502","1.311016272000502","2.1905501553233675","2.1905501553233675","2.1905501553233675"
"17","17","17","17","1.3075015759958244","1.3075015759958244","1.3075015759958244","2.195792770451634","2.195792770451634","2.195792770451634"
"18","18","18","18","1.2935715918398862","1.2935715918398862","1.2935715918398862","2.1502518179448504","2.1502518179448504","2.1502518179448504"