"epoch","hearty-sweep-1 - _step","hearty-sweep-1 - _step__MIN","hearty-sweep-1 - _step__MAX","hearty-sweep-1 - loss/train","hearty-sweep-1 - loss/train__MIN","hearty-sweep-1 - loss/train__MAX","hearty-sweep-1 - loss/val","hearty-sweep-1 - loss/val__MIN","hearty-sweep-1 - loss/val__MAX"
"0","0","0","0","2.2954238015142043","2.2954238015142043","2.2954238015142043","1.8278256718434809","1.8278256718434809","1.8278256718434809"
"1","1","1","1","1.9835020255260418","1.9835020255260418","1.9835020255260418","1.6792735093642577","1.6792735093642577","1.6792735093642577"
"2","2","2","2","1.859698921545297","1.859698921545297","1.859698921545297","1.5694492084537437","1.5694492084537437","1.5694492084537437"
"3","3","3","3","1.7437597015598514","1.7437597015598514","1.7437597015598514","1.522674511457467","1.522674511457467","1.522674511457467"
"4","4","4","4","1.7091350074342009","1.7091350074342009","1.7091350074342009","1.47693779901226","1.47693779901226","1.47693779901226"
"5","5","5","5","1.6430445397029603","1.6430445397029603","1.6430445397029603","1.467413067076405","1.467413067076405","1.467413067076405"
"6","6","6","6","1.5822292068148354","1.5822292068148354","1.5822292068148354","1.4684191670960296","1.4684191670960296","1.4684191670960296"
"7","7","7","7","1.545587069444663","1.545587069444663","1.545587069444663","1.4474490924619519","1.4474490924619519","1.4474490924619519"
"8","8","8","8","1.4797553581022782","1.4797553581022782","1.4797553581022782","1.4939219907701757","1.4939219907701757","1.4939219907701757"
"9","9","9","9","1.5265311348876107","1.5265311348876107","1.5265311348876107","1.470466915883539","1.470466915883539","1.470466915883539"
"10","10","10","10","1.4127751905225832","1.4127751905225832","1.4127751905225832","1.4755944120669793","1.4755944120669793","1.4755944120669793"
"11","11","11","11","1.367730211539697","1.367730211539697","1.367730211539697","1.4831264556030808","1.4831264556030808","1.4831264556030808"
"12","12","12","12","1.3389721222688267","1.3389721222688267","1.3389721222688267","1.502261872831878","1.502261872831878","1.502261872831878"
"13","13","13","13","1.233722547758917","1.233722547758917","1.233722547758917","1.5184212730865443","1.5184212730865443","1.5184212730865443"
"14","14","14","14","1.2815677250166857","1.2815677250166857","1.2815677250166857","1.5198559419508082","1.5198559419508082","1.5198559419508082"
"15","15","15","15","1.2813781264968875","1.2813781264968875","1.2813781264968875","1.5317053970572367","1.5317053970572367","1.5317053970572367"
"16","16","16","16","1.1519923014215632","1.1519923014215632","1.1519923014215632","1.5422867662288362","1.5422867662288362","1.5422867662288362"
"17","17","17","17","1.1257412381991692","1.1257412381991692","1.1257412381991692","1.547408049307568","1.547408049307568","1.547408049307568"
"18","18","18","18","1.0843933752294115","1.0843933752294115","1.0843933752294115","1.5570271553832888","1.5570271553832888","1.5570271553832888"
"19","19","19","19","1.1018236250160307","1.1018236250160307","1.1018236250160307","1.568399344101198","1.568399344101198","1.568399344101198"
"20","20","20","20","1.127642617679463","1.127642617679463","1.127642617679463","1.5779946885972131","1.5779946885972131","1.5779946885972131"
"21","21","21","21","1.134670383655108","1.134670383655108","1.134670383655108","1.576600184313222","1.576600184313222","1.576600184313222"
"22","22","22","22","1.0678223979324413","1.0678223979324413","1.0678223979324413","1.5899326969873295","1.5899326969873295","1.5899326969873295"